municipio,pearson_pib_per_capita
Aquidauana,0.9896185956705067
Poconé,0.9873006123747472
Nossa Senhora do Livramento,0.9872390265371422
Rio Verde de Mato Grosso,0.9869744047598696
Cáceres,0.9854228220188784
Coxim,0.9714909369191335
Miranda,0.9472905697255545
Porto Murtinho,0.9455728128078261
Porto Esperidião,0.9113010436218121
Sonora,0.8868063154469451
Barão de Melgaço,0.8770845975047801
Santo Antônio do Leverger,0.8501920419103878
Ladário,0.8033876849998736
Corumbá,0.7716250054007053
Itiquira,0.7375830804176859
