municipio,pearson_valor_agropecuaria,n_valor_agropecuaria,pearson_pib_per_capita,n_pib_per_capita,pearson_valor_industria,n_valor_industria,pearson_valor_administracao_publica,n_valor_administracao_publica
Aquidauana,0.803800372903488,12,0.9896185956705067,12,0.8906688063031598,12,0.9827554696282734,12
Barão de Melgaço,0.44160719422921096,12,0.8770845975047801,12,0.9707062419193749,12,0.9818271234794151,12
Corumbá,0.895550841604981,12,0.7716250054007053,12,-0.010673701185278392,12,0.9820996286794469,12
Coxim,0.9169129825309994,12,0.9714909369191335,12,0.3586177471249791,12,0.9932962584958038,12
Cáceres,0.7545391236417517,12,0.9854228220188784,12,0.9034906419757974,12,0.9965363980270525,12
Itiquira,0.6610813010871014,12,0.7375830804176859,12,0.9413080015116558,12,0.9751698835693018,12
Ladário,0.8683283296876749,12,0.8033876849998736,12,0.5309063439387597,12,0.9802267576804014,12
Miranda,0.846504813733229,12,0.9472905697255545,12,0.7479025278741974,12,0.9731858487607828,12
Nossa Senhora do Livramento,0.7080321693637666,12,0.9872390265371422,12,0.8576235011267009,12,0.9859042559305328,12
Poconé,0.552731356552654,12,0.9873006123747472,12,0.8990871915107098,12,0.9891572334885755,12
Porto Esperidião,0.6065352699783582,12,0.9113010436218121,12,0.680072658974349,12,0.9843360184160226,12
Porto Murtinho,0.7704969861578651,12,0.9455728128078261,12,-0.4622030153941258,12,0.9737406502984669,12
Rio Verde de Mato Grosso,0.9292273366371547,12,0.9869744047598696,12,0.8589418941545575,12,0.9916294650014615,12
Santo Antônio do Leverger,0.6414291803091261,12,0.8501920419103878,12,0.8996643752142822,12,0.9777840640984845,12
Sonora,0.8239480880832701,12,0.8868063154469451,12,0.9191430926474111,12,0.9615505729676427,12
