municipio,pearson_valor_administracao_publica
Cáceres,0.9965363980270525
Coxim,0.9932962584958038
Rio Verde de Mato Grosso,0.9916294650014615
Poconé,0.9891572334885755
Nossa Senhora do Livramento,0.9859042559305328
Porto Esperidião,0.9843360184160226
Aquidauana,0.9827554696282734
Corumbá,0.9820996286794469
Barão de Melgaço,0.9818271234794151
Ladário,0.9802267576804014
Santo Antônio do Leverger,0.9777840640984845
Itiquira,0.9751698835693018
Porto Murtinho,0.9737406502984669
Miranda,0.9731858487607828
Sonora,0.9615505729676427
