municipio,pearson_valor_agropecuaria
Rio Verde de Mato Grosso,0.9292273366371547
Coxim,0.9169129825309994
Corumbá,0.895550841604981
Ladário,0.8683283296876749
Miranda,0.846504813733229
Sonora,0.8239480880832701
Aquidauana,0.803800372903488
Porto Murtinho,0.7704969861578651
Cáceres,0.7545391236417517
Nossa Senhora do Livramento,0.7080321693637666
Itiquira,0.6610813010871014
Santo Antônio do Leverger,0.6414291803091261
Porto Esperidião,0.6065352699783582
Poconé,0.552731356552654
Barão de Melgaço,0.44160719422921096
