municipio,pearson_valor_industria
Barão de Melgaço,0.9707062419193749
Itiquira,0.9413080015116558
Sonora,0.9191430926474111
Cáceres,0.9034906419757974
Santo Antônio do Leverger,0.8996643752142822
Poconé,0.8990871915107098
Aquidauana,0.8906688063031598
Rio Verde de Mato Grosso,0.8589418941545575
Nossa Senhora do Livramento,0.8576235011267009
Miranda,0.7479025278741974
Porto Esperidião,0.680072658974349
Ladário,0.5309063439387597
Coxim,0.3586177471249791
Corumbá,-0.010673701185278392
Porto Murtinho,-0.4622030153941258
