municipio,partial_nivel_pib_per_capita_ctl_lags,partial_nivel_valor_administracao_publica_ctl_lags,partial_nivel_valor_agropecuaria_ctl_lags,partial_nivel_valor_industria_ctl_lags,pearson_delta_pib_per_capita,pearson_delta_valor_administracao_publica,pearson_delta_valor_agropecuaria,pearson_delta_valor_industria,pearson_logdiff_pib_per_capita,pearson_logdiff_valor_administracao_publica,pearson_logdiff_valor_agropecuaria,pearson_logdiff_valor_industria,pearson_nivel_ano,pearson_nivel_pib_per_capita,pearson_nivel_valor_administracao_publica,pearson_nivel_valor_agropecuaria,pearson_nivel_valor_industria,spearman_nivel_ano,spearman_nivel_pib_per_capita,spearman_nivel_valor_administracao_publica,spearman_nivel_valor_agropecuaria,spearman_nivel_valor_industria
Aquidauana,0.7556294384212423,-0.49846991255672907,0.8290454481776564,0.44406452853306166,0.77708417242805,-0.5053932234928785,0.7850723462824128,0.21306994404519547,0.6755188410316809,-0.4352380664822231,0.7272926078711527,0.22640988635273346,0.9966889714356694,0.9896185956705069,0.9827554696282733,0.803800372903488,0.8906688063031601,1.0,1.0,0.993006993006993,0.8041958041958042,0.9020979020979021
Barão de Melgaço,0.2348707217567254,0.5850059911618188,-0.29569632047934513,0.7983098161612485,-0.5347984743585501,0.07272910914402637,-0.5150448612145568,0.5805242427876018,-0.5854995299075804,-0.0985114649038862,-0.5787894293938202,0.5779752873877497,0.9735605985959124,0.87708459750478,0.9818271234794151,0.4416071942292107,0.9707062419193747,1.0,0.951048951048951,1.0,0.3076923076923077,0.8951048951048951
Cáceres,0.590720924868914,0.8016459794488098,-0.08740805917569959,-0.4873814343571129,-0.053675118053550123,0.34754591877634416,-0.16995807555177156,-0.3444277144493581,0.1623482937093636,0.5134535889012549,-0.03650098508332147,-0.37726122755395436,0.9979343424754978,0.9854228220188785,0.9965363980270525,0.7545391236417522,0.9034906419757979,1.0,1.0,1.0,0.8671328671328671,0.9230769230769231
Corumbá,0.3204715879428212,-0.49066338121221215,0.7829763679449332,0.3190660824143142,0.4601922111279008,-0.3595653470567227,0.6412963709439047,0.4779100112054526,0.3720137062651028,-0.5107748886059132,0.4720950324984,0.4381456774420901,0.9858062270707647,0.7716250054007053,0.9820996286794466,0.895550841604981,-0.010673701185278418,1.0,0.7412587412587412,1.0,0.8671328671328671,-0.24475524475524477
Coxim,-0.2978833629592117,0.7646010576234847,-0.2404832009269756,-0.5734677834446588,-0.4006145853261791,0.4185535625807527,-0.3387128957202057,-0.08465668417987667,-0.4379070391747536,0.37589463817273594,-0.38727477488994216,-0.06332081145511596,0.9923758249406296,0.9714909369191338,0.9932962584958044,0.9169129825309997,0.35861774712497907,1.0,0.993006993006993,1.0,0.951048951048951,0.45454545454545453
Itiquira,-0.17558378418410078,0.5914826335004608,-0.3483033469054701,0.5579257101223727,-0.5386813824164524,-0.1791781857277819,-0.6032388233674102,0.2589676895531624,-0.47152409298154885,-0.11293897704563267,-0.5973276173024361,0.038380751490658484,0.9867362580277692,0.737583080417686,0.9751698835693019,0.6610813010871012,0.9413080015116557,1.0,0.8321678321678322,0.986013986013986,0.7832167832167832,0.9090909090909091
Ladário,0.3371157301770119,0.7031084061283231,0.5686756887260983,0.5269960810874006,-0.35916222175110935,0.3546106156337583,-0.09682374322665072,-0.09193764809623896,-0.43715556850811105,0.11640531564676437,-0.08458390186997208,-0.12885758337759348,0.9697821811609263,0.8033876849998751,0.9802267576804021,0.8683283296876757,0.5309063439387617,1.0,0.8601398601398601,1.0,0.965034965034965,0.5664335664335665
Miranda,0.2793944771822753,0.47096062211429923,0.25338101284582387,-0.035335288387376096,-0.23476250908828653,0.2760882750947455,-0.1603202245063601,-0.5148499168167736,-0.10059633287553814,0.5350627009642699,-0.051911068939365854,-0.5166900494442641,0.9769768330325017,0.9472905697255547,0.9731858487607831,0.846504813733229,0.7479025278741974,1.0,0.993006993006993,1.0,0.8951048951048951,0.9300699300699301
Nossa Senhora do Livramento,0.7719324720401153,0.6801477954929942,0.16122985476611973,-0.2779444351302455,0.4844527016515338,0.1540133030180985,-0.35794374930381967,-0.17064238179160524,0.49733543097202276,0.11122194327190324,-0.3562878619844577,-0.19100769353835415,0.9809824563771828,0.987239026537142,0.9859042559305327,0.7080321693637665,0.8576235011267009,1.0,1.0,0.993006993006993,0.8531468531468531,0.986013986013986
Poconé,0.48019648541200877,0.6842662218201735,-0.2465918201032271,0.4753144074523044,0.288660195716794,0.49281617062920874,0.03876345395957681,0.21735468723382217,0.3286330636232362,0.5143122182907547,0.007568265042239274,0.19615326673811498,0.9981719958808263,0.9873006123747476,0.9891572334885758,0.552731356552654,0.8990871915107099,1.0,0.993006993006993,0.993006993006993,0.4755244755244755,0.9020979020979021
Porto Esperidião,0.3760178829002184,0.5159636756401124,0.33437272472062524,0.05499128819704358,-0.19185882127545906,0.1225257783511527,0.07477081341492431,-0.5241415297663757,-0.18945381611522297,0.40818359269979915,0.1541557737380036,-0.6657587048875802,0.9864928458661447,0.9113010436218121,0.9843360184160221,0.6065352699783577,0.6800726589743501,1.0,0.986013986013986,1.0,0.5944055944055944,0.7692307692307693
Porto Murtinho,-0.05910299576087858,-0.005407069413160791,0.18266835031774287,-0.7085145839474737,0.16002702656209575,0.11273691557670602,0.12190111490799117,0.11996997842413668,0.04853476551204859,-0.0070753947652287125,0.011398719551273405,-0.007212992202141354,0.9916989798100169,0.9455728128078261,0.9737406502984671,0.7704969861578651,-0.4622030153941264,1.0,1.0,0.965034965034965,0.7832167832167832,-0.42657342657342656
Rio Verde de Mato Grosso,0.0788427454378966,0.1599940619964471,0.23124057826581915,-0.3959706984263475,0.4068368059982309,-0.34361505360973854,0.5485946840896251,-0.5295755246624737,0.2725254779583152,-0.46676345775520933,0.4626164065606977,-0.5394723358827487,0.995997829011947,0.9869744047598695,0.9916294650014615,0.929227336637155,0.8589418941545571,1.0,1.0,1.0,0.951048951048951,0.9790209790209791
Santo Antônio do Leverger,-0.017547335584011423,0.5451358657209914,-0.07325207568428947,-0.12285013996354187,-0.45512846607114094,0.24247891417212006,-0.5698603619536384,-0.41593357080908977,-0.36385948769366866,0.3552294875755191,-0.4786009000088488,-0.2933010982393761,0.9896588612384594,0.8501920419103877,0.9777840640984848,0.6414291803091259,0.8996643752142822,1.0,0.9020979020979021,0.9790209790209791,0.6083916083916084,0.916083916083916
Sonora,0.5640073439761835,0.582303975412871,0.4405234636641761,0.15901913396681025,-0.029562489325724556,-0.1640624213339791,-0.22568022618707526,0.23279721217450225,-0.024247732575337987,-0.2257788634981199,-0.25723172372088715,0.33089058505617386,0.968103693863522,0.8868063154469449,0.9615505729676423,0.82394808808327,0.9191430926474111,0.9982502173821434,0.9562186292818426,0.9982502173821434,0.9281975705483088,0.9141870411815418
