Ano,Código da Grande Região,Nome da Grande Região,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Nome do Município,Região Metropolitana,Código da Mesorregião,Nome da Mesorregião,Código da Microrregião,Nome da Microrregião,Código da Região Geográfica Imediata,Nome da Região Geográfica Imediata,Município da Região Geográfica Imediata,Código da Região Geográfica Intermediária,Nome da Região Geográfica Intermediária,Município da Região Geográfica Intermediária,Código Concentração Urbana,Nome Concentração Urbana,Tipo Concentração Urbana,Código Arranjo Populacional,Nome Arranjo Populacional,Hierarquia Urbana,Hierarquia Urbana (principais categorias),Código da Região Rural,Nome da Região Rural,Região rural (segundo classificação do núcleo),Amazônia Legal,Semiárido,Cidade-Região de São Paulo,"Valor adicionado bruto da Agropecuária,  a preços correntes (R$ 1.000)","Valor adicionado bruto da Indústria, a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços, a preços correntes  - exceto Administração, defesa, educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social,  a preços correntes (R$ 1.000)","Valor adicionado bruto total,  a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos,  a preços correntes (R$ 1.000)","Produto Interno Bruto,  a preços correntes (R$ 1.000)","Produto Interno Bruto per capita,  a preços correntes (R$ 1,00)",Atividade com maior valor adicionado bruto,Atividade com segundo maior valor adicionado bruto,Atividade com terceiro maior valor adicionado bruto
2010,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 80.795 , 87.476 , 392.552 , 243.130 , 803.952 , 92.039 , 895.992 ," 10.191,91 ",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2011,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 108.733 , 62.129 , 471.103 , 268.188 , 910.152 , 104.541 , 1.014.693 ," 11.474,79 ",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2012,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 105.230 , 103.541 , 498.303 , 295.000 , 1.002.074 , 114.156 , 1.116.230 ," 12.556,44 ",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2013,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 112.000 , 95.885 , 530.638 , 329.358 , 1.067.881 , 128.899 , 1.196.781 ," 13.344,56 ",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2014,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 132.433 , 125.347 , 667.579 , 365.111 , 1.290.470 , 129.940 , 1.420.410 ," 15.763,76 ",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2015,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 136.488 , 123.406 , 756.539 , 412.121 , 1.428.553 , 125.629 , 1.554.182 ," 17.169,87 ",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2016,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 155.396 , 101.772 , 820.470 , 470.068 , 1.547.707 , 167.284 , 1.714.991 ," 18.870,73 ",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2017,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 136.775 , 125.820 , 854.785 , 500.282 , 1.617.662 , 198.679 , 1.816.340 ," 19.900,52 ",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2018,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 139.231 , 150.981 , 868.144 , 532.714 , 1.691.070 , 196.398 , 1.887.468 ," 20.104,68 ",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2019,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 129.601 , 158.235 , 883.864 , 546.099 , 1.717.798 , 194.241 , 1.912.039 ," 20.259,81 ",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2020,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 175.142 , 197.849 , 863.670 , 577.047 , 1.813.709 , 229.802 , 2.043.511 ," 21.542,16 ","Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços,Comércio e reparação de veículos automotores e motocicletas
2021,5,Centro-oeste,51,MT,Mato Grosso,5102504,Cáceres,,5104,Centro-Sul Mato-grossense,51018,Alto Pantanal,510004,Cáceres,Polo,5102,Cáceres,Polo,,,,,,Centro Sub-Regional B,Centro Sub-Regional,5104,Região Rural do Centro Sub-regional de Cáceres,Região Rural de Centro Sub-regional,Sim,Não,Não, 284.352 , 196.615 , 914.198 , 621.667 , 2.016.832 , 247.841 , 2.264.674 ," 23.753,91 ","Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços,Comércio e reparação de veículos automotores e motocicletas
2010,5,Centro-oeste,50,MS,Mato Grosso do Sul,5007935,Sonora,,5002,Centro Norte de Mato Grosso do Sul,50003,Alto Taquari,500004,Coxim,do Entorno,5001,Campo Grande,do Entorno,,,,,,Centro Local,Centro Local,5102,Região Rural do Centro Sub-regional de Rondonópolis,Região Rural de Centro Sub-regional,Não,Não,Não, 97.091 , 60.489 , 78.033 , 50.106 , 285.719 , 28.529 , 314.248 ," 21.137,31 ","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social"
2011,5,Centro-oeste,50,MS,Mato Grosso do Sul,5007935,Sonora,,5002,Centro Norte de Mato Grosso do Sul,50003,Alto Taquari,500004,Coxim,do Entorno,5001,Campo Grande,do Entorno,,,,,,Centro Local,Centro Local,5102,Região Rural do Centro Sub-regional de Rondonópolis,Região Rural de Centro Sub-regional,Não,Não,Não, 123.273 , 41.677 , 92.726 , 56.972 , 314.648 , 34.560 , 349.208 ," 22.913,89 ","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social"
2012,5,Centro-oeste,50,MS,Mato Grosso do Sul,5007935,Sonora,,5002,Centro Norte de Mato Grosso do Sul,50003,Alto Taquari,500004,Coxim,do Entorno,5001,Campo Grande,do Entorno,,,,,,Centro Local,Centro Local,5102,Região Rural do Centro Sub-regional de Rondonópolis,Região Rural de Centro Sub-regional,Não,Não,Não, 200.684 , 53.165 , 121.398 , 64.558 , 439.805 , 41.228 , 481.033 ," 30.772,34 ","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social"
2013,5,Centro-oeste,50,MS,Mato Grosso do Sul,5007935,Sonora,,5002,Centro Norte de Mato Grosso do Sul,50003,Alto Taquari,500004,Coxim,do Entorno,5001,Campo Grande,do Entorno,,,,,,Centro Local,Centro Local,5102,Região Rural do Centro Sub-regional de Rondonópolis,Região Rural de Centro Sub-regional,Não,Não,Não, 214.907 , 87.225 , 135.692 , 75.609 , 513.432 , 47.799 , 561.231 ," 33.925,58 ","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social"
2014,5,Centro-oeste,50,MS,Mato Grosso do Sul,5007935,Sonora,,5002,Centro Norte de Mato Grosso do Sul,50003,Alto Taquari,500004,Coxim,do Entorno,5001,Campo Grande,do Entorno,,,,,,Centro Local,Centro Local,5102,Região Rural do Centro Sub-regional de Rondonópolis,Região Rural de Centro Sub-regional,Não,Não,Não, 194.532 , 52.538 , 142.777 , 82.049 , 471.896 , 44.477 , 516.373 ," 30.340,98 ","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social"
2015,5,Centro-oeste,50,MS,Mato Grosso do Sul,5007935,Sonora,,5002,Centro Norte de Mato Grosso do Sul,50003,Alto Taquari,500004,Coxim,do Entorno,5001,Campo Grande,do Entorno,,,,,,Centro Local,Centro Local,5102,Região Rural do Centro Sub-regional de Rondonópolis,Região Rural de Centro Sub-regional,Não,Não,Não, 217.653 , 80.063 , 156.731 , 86.833 , 541.281 , 48.432 , 589.712 ," 33.730,60 ","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social"
2016,5,Centro-oeste,50,MS,Mato Grosso do Sul,5007935,Sonora,,5002,Centro Norte de Mato Grosso do Sul,50003,Alto Taquari,500004,Coxim,do Entorno,5001,Campo Grande,do Entorno,,,,,,Centro Local,Centro Local,5102,Região Rural do Centro Sub-regional de Rondonópolis,Região Rural de Centro Sub-regional,Não,Não,Não, 207.386 , 88.228 , 171.708 , 99.858 , 567.180 , 53.111 , 620.291 ," 34.573,94 ","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social"
