municipio_ibge,UF,municipio_ibge_norm,municipio,municipio_norm,pearson_valor_administracao_publica
Cáceres,MT,caceres,Cáceres,caceres,0.9965363980270524
Coxim,MS,coxim,Coxim,coxim,0.9932962584958038
Rio Verde de Mato Grosso,MS,rio verde de mato grosso,Rio Verde de Mato Grosso,rio verde de mato grosso,0.9916294650014617
Poconé,MT,pocone,Poconé,pocone,0.9891572334885756
Nossa Senhora do Livramento,MT,nossa senhora do livramento,Nossa Senhora do Livramento,nossa senhora do livramento,0.9859042559305328
Porto Esperidião,MT,porto esperidiao,Porto Esperidião,porto esperidiao,0.9843360184160226
Aquidauana,MS,aquidauana,Aquidauana,aquidauana,0.9827554696282734
Corumbá,MS,corumba,Corumbá,corumba,0.9820996286794468
Barão de Melgaço,MT,barao de melgaco,Barão de Melgaço,barao de melgaco,0.9818271234794153
Ladário,MS,ladario,Ladário,ladario,0.9802267576804014
Santo Antônio de Leverger,MT,santo antonio de leverger,Santo Antônio do Leverger,santo antonio de leverger,0.9777840640984844
Itiquira,MT,itiquira,Itiquira,itiquira,0.9751698835693018
Porto Murtinho,MS,porto murtinho,Porto Murtinho,porto murtinho,0.9737406502984668
Miranda,MS,miranda,Miranda,miranda,0.9731858487607828
Sonora,MS,sonora,Sonora,sonora,0.9615505729676428
