municipio_ibge,UF,municipio_ibge_norm,municipio,municipio_norm,pearson_pib_per_capita
Aquidauana,MS,aquidauana,Aquidauana,aquidauana,0.9896185956705068
Poconé,MT,pocone,Poconé,pocone,0.9873006123747472
Nossa Senhora do Livramento,MT,nossa senhora do livramento,Nossa Senhora do Livramento,nossa senhora do livramento,0.9872390265371422
Rio Verde de Mato Grosso,MS,rio verde de mato grosso,Rio Verde de Mato Grosso,rio verde de mato grosso,0.9869744047598696
Cáceres,MT,caceres,Cáceres,caceres,0.9854228220188784
Coxim,MS,coxim,Coxim,coxim,0.9714909369191336
Miranda,MS,miranda,Miranda,miranda,0.9472905697255544
Porto Murtinho,MS,porto murtinho,Porto Murtinho,porto murtinho,0.945572812807826
Porto Esperidião,MT,porto esperidiao,Porto Esperidião,porto esperidiao,0.911301043621812
Sonora,MS,sonora,Sonora,sonora,0.8868063154469451
Barão de Melgaço,MT,barao de melgaco,Barão de Melgaço,barao de melgaco,0.8770845975047801
Santo Antônio de Leverger,MT,santo antonio de leverger,Santo Antônio do Leverger,santo antonio de leverger,0.8501920419103878
Ladário,MS,ladario,Ladário,ladario,0.8033876849998736
Corumbá,MS,corumba,Corumbá,corumba,0.7716250054007053
Itiquira,MT,itiquira,Itiquira,itiquira,0.7375830804176859
