municipio_ibge,UF,municipio_ibge_norm,municipio,municipio_norm,pearson_valor_industria
Barão de Melgaço,MT,barao de melgaco,Barão de Melgaço,barao de melgaco,0.9707062419193748
Itiquira,MT,itiquira,Itiquira,itiquira,0.9413080015116558
Sonora,MS,sonora,Sonora,sonora,0.9191430926474112
Cáceres,MT,caceres,Cáceres,caceres,0.9034906419757974
Santo Antônio de Leverger,MT,santo antonio de leverger,Santo Antônio do Leverger,santo antonio de leverger,0.8996643752142822
Poconé,MT,pocone,Poconé,pocone,0.8990871915107098
Aquidauana,MS,aquidauana,Aquidauana,aquidauana,0.8906688063031598
Rio Verde de Mato Grosso,MS,rio verde de mato grosso,Rio Verde de Mato Grosso,rio verde de mato grosso,0.8589418941545575
Nossa Senhora do Livramento,MT,nossa senhora do livramento,Nossa Senhora do Livramento,nossa senhora do livramento,0.8576235011267009
Miranda,MS,miranda,Miranda,miranda,0.7479025278741974
Porto Esperidião,MT,porto esperidiao,Porto Esperidião,porto esperidiao,0.680072658974349
Ladário,MS,ladario,Ladário,ladario,0.5309063439387597
Coxim,MS,coxim,Coxim,coxim,0.3586177471249791
Corumbá,MS,corumba,Corumbá,corumba,-0.0106737011852783
Porto Murtinho,MS,porto murtinho,Porto Murtinho,porto murtinho,-0.4622030153941258
