municipio_ibge,UF,municipio_ibge_norm,municipio,municipio_norm,pearson_valor_agropecuaria
Rio Verde de Mato Grosso,MS,rio verde de mato grosso,Rio Verde de Mato Grosso,rio verde de mato grosso,0.9292273366371548
Coxim,MS,coxim,Coxim,coxim,0.9169129825309994
Corumbá,MS,corumba,Corumbá,corumba,0.895550841604981
Ladário,MS,ladario,Ladário,ladario,0.8683283296876749
Miranda,MS,miranda,Miranda,miranda,0.846504813733229
Sonora,MS,sonora,Sonora,sonora,0.8239480880832701
Aquidauana,MS,aquidauana,Aquidauana,aquidauana,0.803800372903488
Porto Murtinho,MS,porto murtinho,Porto Murtinho,porto murtinho,0.7704969861578651
Cáceres,MT,caceres,Cáceres,caceres,0.7545391236417517
Nossa Senhora do Livramento,MT,nossa senhora do livramento,Nossa Senhora do Livramento,nossa senhora do livramento,0.7080321693637666
Itiquira,MT,itiquira,Itiquira,itiquira,0.6610813010871014
Santo Antônio de Leverger,MT,santo antonio de leverger,Santo Antônio do Leverger,santo antonio de leverger,0.6414291803091261
Porto Esperidião,MT,porto esperidiao,Porto Esperidião,porto esperidiao,0.6065352699783582
Poconé,MT,pocone,Poconé,pocone,0.552731356552654
Barão de Melgaço,MT,barao de melgaco,Barão de Melgaço,barao de melgaco,0.4416071942292109
