municipio,slope,delta_y_por_1000ha
Ladário,1519.8331975744422,1519833.1975744423
Miranda,437.7978650596575,437797.8650596575
Itiquira,385.33632664581273,385336.3266458127
Sonora,263.4830926924511,263483.09269245114
Porto Esperidião,189.20031425427828,189200.3142542783
Nossa Senhora do Livramento,172.26404524721113,172264.04524721112
Coxim,165.05850479735494,165058.50479735495
Santo Antônio do Leverger,57.0714174686601,57071.4174686601
Poconé,38.66152065541671,38661.52065541671
Cáceres,34.49589761838506,34495.89761838506
Rio Verde de Mato Grosso,33.78913069014269,33789.130690142694
Porto Murtinho,32.28408827199243,32284.08827199243
Barão de Melgaço,16.848351937314277,16848.351937314277
Aquidauana,14.395764900728608,14395.764900728607
Corumbá,3.9879300135208418,3987.930013520842
