municipio,slope,delta_y_por_1000ha
Ladário,22116.7454068242,22116745.4068242
Miranda,4619.138942336815,4619138.9423368145
Coxim,1546.2165063606647,1546216.5063606647
Sonora,1208.185305381598,1208185.305381598
Cáceres,1029.8376811237708,1029837.6811237709
Porto Esperidião,871.5891315969002,871589.1315969002
Itiquira,506.76109583483515,506761.09583483514
Nossa Senhora do Livramento,436.0953898602361,436095.3898602361
Poconé,406.28163914364933,406281.6391436493
Porto Murtinho,238.16833673023223,238168.33673023223
Corumbá,218.07086607010334,218070.86607010334
Aquidauana,217.15618774543293,217156.18774543292
Rio Verde de Mato Grosso,188.57977689409046,188579.77689409046
Santo Antônio do Leverger,156.8127788062747,156812.7788062747
Barão de Melgaço,98.54735955130883,98547.35955130884
