municipio,slope,delta_y_por_1000ha
Itiquira,3581.494234150481,3581494.234150481
Miranda,3016.291260371878,3016291.260371878
Sonora,2723.4126406622927,2723412.6406622925
Coxim,1405.0698384302273,1405069.8384302272
Ladário,977.1599239750246,977159.9239750246
Porto Esperidião,599.4922042160811,599492.2042160811
Santo Antônio do Leverger,480.2599384150599,480259.9384150599
Cáceres,310.2179327699018,310217.93276990176
Rio Verde de Mato Grosso,259.27036274355294,259270.36274355295
Porto Murtinho,251.661579984655,251661.579984655
Nossa Senhora do Livramento,184.93716508768694,184937.16508768694
Corumbá,122.30098548522086,122300.98548522087
Poconé,115.57295168950796,115572.95168950796
Aquidauana,96.95946275296664,96959.46275296665
Barão de Melgaço,25.089822492492612,25089.82249249261
