municipio,slope,delta_y_por_1000ha
Itiquira,1992.5688764758122,1992568.8764758122
Ladário,1516.6096479319338,1516609.6479319336
Sonora,1440.5782754226675,1440578.2754226676
Miranda,917.0454196037149,917045.4196037148
Nossa Senhora do Livramento,747.5630199860675,747563.0199860675
Porto Esperidião,477.6611334834841,477661.1334834841
Cáceres,303.72757454791196,303727.57454791194
Coxim,160.46410676372363,160464.10676372363
Poconé,102.61388979332358,102613.88979332359
Santo Antônio do Leverger,80.87061446940356,80870.61446940356
Aquidauana,50.03885288590625,50038.85288590625
Rio Verde de Mato Grosso,44.91082812859875,44910.828128598754
Barão de Melgaço,6.754702762077226,6754.702762077226
Corumbá,-2.603270588137846,-2603.270588137846
Porto Murtinho,-20.790247611865805,-20790.247611865805
