municipio,slope
Corumbá,0.14930180493161915
Aquidauana,0.06803007493178069
Barão de Melgaço,0.04565891038140009
Rio Verde de Mato Grosso,0.028829344104294427
Cáceres,0.028149960000985977
Porto Murtinho,0.027695003705493423
Poconé,0.02521273045319243
Santo Antônio do Leverger,0.012665297975552851
Coxim,0.005717940082364915
Nossa Senhora do Livramento,0.0056578312329733415
Porto Esperidião,0.004389366874888435
Sonora,0.00298472829159681
Miranda,0.0020497117393861366
Itiquira,0.0014118284804705025
Ladário,0.00042467276898512304
