municipio,slope
Barão de Melgaço,0.009781941442053164
Santo Antônio do Leverger,0.006096835240615573
Rio Verde de Mato Grosso,0.005214392614385881
Aquidauana,0.004447528403917653
Corumbá,0.00442296441534855
Porto Murtinho,0.0039810953339177516
Poconé,0.002408260522491466
Nossa Senhora do Livramento,0.002228886671270371
Itiquira,0.0018765377011705426
Porto Esperidião,0.0011116675989016637
Cáceres,0.0009643119598314429
Sonora,0.0007652629942245296
Coxim,0.0006380978686251503
Miranda,0.00020503620004751622
Ladário,4.344420839497311e-05
