municipio,slope
Barão de Melgaço,0.00777274984920075
Aquidauana,0.006663558368984661
Corumbá,0.006557684770220484
Rio Verde de Mato Grosso,0.0033303592204552875
Nossa Senhora do Livramento,0.0027107020517821152
Poconé,0.002643455480286684
Porto Murtinho,0.002358983861241561
Cáceres,0.0018352558925997086
Santo Antônio do Leverger,0.0008566848084598348
Ladário,0.000771617899627923
Porto Esperidião,0.0006136610803951651
Coxim,0.0005983541846383764
Sonora,0.0002492793202615736
Miranda,0.00023756671283302463
Itiquira,0.00012202406539701621
