municipio,slope
Barão de Melgaço,0.13949845630386637
Rio Verde de Mato Grosso,0.01642769034276627
Aquidauana,0.015853499366388
Santo Antônio do Leverger,0.010008530210141173
Poconé,0.007877664315881055
Cáceres,0.002687590487471766
Nossa Senhora do Livramento,0.0009838877125015228
Porto Esperidião,0.0009682571787064608
Coxim,0.0008014670143171882
Miranda,0.0006099569107954647
Sonora,0.0005864478447126199
Itiquira,0.0004446826226037483
Ladário,0.00018584976458428746
Corumbá,-4.376337116539057e-05
Porto Murtinho,-0.010275569172032921
