municipio,desmatamento_2022,desmatamento_2024,crescimento_desmatamento,r2_score,mse,coef_ano,impacto_agro_2024,impacto_pib_2024,impacto_ind_2024,impacto_adm_2024
Corumbá,7327.05396250782,7764.964518725277,437.91055621745727,0.99,6828.48,1.8228,1241.8722698434046,-3006.944585564002,617.7169271934628,5222.947051154064
Porto Murtinho,3676.3826603355224,3734.2515915460776,57.868931210555274,0.99,149.73,1.5289,48.48689765283861,212.71742431500283,-8.633520081009008,387.15195126760807
Cáceres,3575.907604924188,3644.343041820631,68.43543689644275,1.0,65.09,1.471,-22.369581021768976,-82.2727251852333,45.6501577550488,726.119409069691
Aquidauana,3362.0485432457367,3511.652835545209,149.6042922994725,0.99,398.29,0.8756,659.6685238052543,-722.025806100185,-168.67688315758664,1970.5526243109289
Rio Verde de Mato Grosso,2879.3815720672774,2967.3578450791474,87.97627301187003,1.0,94.33,1.0095,72.77271495496491,217.28451837881417,-41.11494296286959,675.2763460083108
Santo Antônio do Leverger,2350.341099680781,2433.5736477347323,83.23254805395118,1.0,99.94,0.7897,-421.53957365290285,693.1442055670295,-10.196217047013993,573.7454396792419
Barão de Melgaço,1287.7692626383243,1349.110755364693,61.34149272636864,0.99,177.74,0.3941,92.51192841486603,-361.8085907655927,191.17543601916685,629.5673501117693
Poconé,1281.7482300832964,1339.5700394201986,57.821809336902106,0.99,132.06,0.3734,-57.33107338124934,676.2974341483565,-38.626824204904466,3.50298532730075
Coxim,1079.719778833276,1095.892571872961,16.172793039685075,0.99,8.63,0.4522,-18.58115822803586,33.46721063534134,8.790147807239219,156.87690438069993
Porto Esperidião,572.1225818939391,583.0034372338037,10.880855339864524,0.98,7.08,0.2254,-29.28362923631404,126.12579598543785,-23.77024451355217,53.7015889860711
Sonora,535.0079249198573,547.6640338394535,12.65610891959625,0.93,38.63,0.2136,0.9887834685538184,-23.436422315857953,11.629093657770088,126.2301361052271
Itiquira,384.9773791367425,411.6594931705464,26.682114033803884,0.97,75.01,0.0794,-2.8515382889429657,-30.405190663504815,68.7876506515341,215.38602867375394
Nossa Senhora do Livramento,349.8377245769422,373.6962946199945,23.858570043052282,1.0,8.2,0.0881,-40.24176661060822,224.28633024770062,-23.357320326838874,34.71085576408435
Miranda,224.63990630427512,229.1393813089199,4.499475004644779,0.98,0.91,0.0855,-9.064925264916974,75.47198618198132,-21.00193001105696,10.736324626139028
Ladário,122.47761998426161,123.32479619753703,0.8471762132754179,0.97,0.07,0.0575,-0.1772235055333569,-1.8083018014437235,-0.13265997171976385,9.077858949486181
