municipio,desmatamento_2022,desmatamento_2024,crescimento_desmatamento,r2_score,mse,crescimento_minimo_anual,impacto_agro_2024,impacto_pib_2024,impacto_ind_2024,impacto_adm_2024
Corumbá,7542.1605,7752.256541982807,210.09604198280704,0.99,6839.94,111.46,1244.150679045424,-3007.960775182342,617.9279544463499,5260.665520033122
Porto Murtinho,3718.2495000000004,3786.936375,68.68687499999987,0.99,153.03,54.95,58.42620108139084,205.27173290557403,-9.227130426300684,416.57674627651807
Cáceres,3583.5589999999997,3649.7577499999998,66.19875000000002,1.0,69.71,52.96,-21.93981254927758,-87.43915695759911,49.36017552496959,756.7179653309661
Aquidauana,3402.7875,3505.1921918915677,102.40469189156784,0.99,405.48,50.29,659.6802535453068,-713.5167506990335,-169.74746342514678,1983.2731623797442
Rio Verde de Mato Grosso,2899.5505,2964.0961352568515,64.54563525685171,1.0,95.84,42.85,69.97891761537065,227.97591306979942,-42.5530954457316,691.1349499034476
Santo Antônio do Leverger,2354.120470994062,2429.7858882797827,75.66541728572065,0.99,106.49,33.94,-427.46064128241085,704.7142387121187,-10.094213125807206,584.1022844379556
Barão de Melgaço,1290.5634890611293,1346.33042857224,55.76693951111065,0.99,179.71,18.8,92.14644330022118,-359.23187641438255,190.3699148288619,636.6426610657304
Poconé,1284.3433935868825,1336.9001918177441,52.55679823086166,0.99,135.62,18.7,-57.575338920990745,681.2781346719833,-38.72501399914733,6.583086057752122
Coxim,1088.9935,1109.110375,20.116874999999936,0.99,8.55,16.09,-19.48432974189387,36.61189871393891,8.987170531460029,165.073973236627
Porto Esperidião,572.46,583.0350000000001,10.575000000000045,0.98,7.46,8.46,-28.946997366789176,125.527262384958,-23.552911924228415,58.27437962779306
Sonora,541.5025,551.5056250000001,10.003125000000068,0.93,39.14,8.0,1.849467561921509,-24.09127275262633,11.346401016553944,130.40454257939774
Itiquira,386.1821603251299,410.4370091504518,24.254848825321858,0.97,75.71,5.4,-2.629437490578687,-30.60588068208916,68.96107266880875,216.67925448203493
Nossa Senhora do Livramento,350.9106723335169,372.5963750462102,21.685702712693285,1.0,8.19,4.99,-40.16066000851623,223.79049751795827,-23.089547150284638,36.55065158081457
Miranda,224.6242841302298,228.95094043119516,4.326656300965368,0.98,0.92,3.28,-8.639680176923527,74.14097684554335,-20.88048394527464,13.208672286709497
Ladário,123.72850000000001,126.014125,2.285624999999996,0.97,0.07,1.83,-0.039903028542328065,-1.7287217230938523,-0.06317208604872483,9.99463485401378
