municipio,desmatamento_2022,desmatamento_2023,desmatamento_2024,crescimento_desmatamento,r2_in_sample_log,mse_in_sample_log,r2_holdout_log,mse_holdout_log,r2_cv_log,r2_in_sample_raw,mse_in_sample_raw,r2_holdout_raw,mse_holdout_raw,crescimento_minimo_anual,impacto_agro_2024_aprox,impacto_pib_2024_aprox,impacto_ind_2024_aprox,impacto_adm_2024_aprox,alpha_star_1se
Corumbá,8526.134015663298,10556.596801428572,16701.088873449255,8174.954857785957,0.9996,0.0,-58.897,0.0773,,0.9996,194.72,-45.223,3067250.93,111.46,0.12510695715335596,-0.05700965806349466,-0.016492698369727995,-0.309674710561844,100.0
Porto Murtinho,3729.8171040776856,3793.5340521284784,3858.2474559166194,128.4303518389338,0.9993,0.0,-39.585,0.0012,,0.9993,7.1,-42.068,16544.87,54.95,0.001195632423458734,0.0869819616080071,-0.00540481497337987,0.008956337501319541,100.0
Aquidauana,3462.705709279602,3550.6437876437008,3653.4137883545886,190.70807907498647,0.9998,0.0,-18.074,0.0069,,0.9998,11.63,-16.749,69776.45,50.29,0.05538677634803117,0.02441966732626874,0.0219091547104314,0.2684742429373558,100.0
Cáceres,3583.5589999999997,3623.27825,3649.7577499999998,66.19875000000002,0.9997,0.0,-10.102,0.0002,,0.9997,3.91,-10.32,2078.34,52.96,-0.012113006973320113,0.02760754007972825,0.024963918415710964,0.1417886551368029,100.0
Rio Verde de Mato Grosso,2899.5505,2931.6883749999997,2985.7873760622538,86.23687606225394,0.9999,0.0,-45.141,0.0029,,0.9999,1.71,-47.584,24924.66,42.85,-0.07628328186989375,0.32091532529142647,-0.07767582833025533,0.3777972683017222,100.0
Santo Antônio do Leverger,2377.6857297975375,2425.7510733976646,2477.844536401001,100.15880660346329,0.9997,0.0,-266.629,0.0011,,0.9997,5.0,-256.357,5211.48,33.94,-0.09017290851182763,0.24850404581810132,-0.056566475437197845,0.19563435884769173,100.0
Barão de Melgaço,1325.9516752592756,1352.8954808566843,1392.5357463004773,66.5840710412017,0.9999,0.0,-120.449,0.001,,0.9999,1.15,-116.552,1440.01,18.8,-0.06419941611689517,0.07013521691479319,0.2385986555659803,0.21999894413812401,100.0
Poconé,1289.4733395317962,1312.9852263567216,1344.0714811264515,54.59814159465532,0.9996,0.0,-15.521,0.0011,,0.9996,3.59,-14.696,1569.56,18.7,-0.03830536980043706,0.12464686447796215,-0.012189086578834791,0.2855928850411489,100.0
Coxim,1088.9935,1101.063625,1109.110375,20.116874999999936,0.9927,0.0,-62.627,0.0007,,0.9928,4.79,-63.61,814.24,16.09,0.026825007863137875,-0.05880020232036752,-0.017240268074220855,0.13056101683219262,100.0
Porto Esperidião,578.8860451399605,585.2310451399605,589.4610451399606,10.575000000000045,0.9996,0.0,-72.438,0.0012,,0.9996,0.1,-69.749,358.17,8.46,-0.4867600745386212,2.028975490952735,-0.24909305833471787,-0.836350757577375,100.0
Sonora,541.5025,555.962028397851,566.9645936013363,25.462093601336278,0.9779,0.0,-593.5,0.1188,,0.9781,11.04,-417.989,23254.95,8.0,0.7516757856768326,-1.2615893088420889,-0.30892150159175036,0.8181307433902829,100.0
Itiquira,407.81790095511565,434.39167677174856,463.9195494962175,56.10164854110184,0.9993,0.0,-680.9,0.0127,,0.9991,1.83,-784.261,1886.59,5.4,-0.15965752082874646,0.2163778081135311,-0.0857936848239959,0.7075954332104202,100.0
Nossa Senhora do Livramento,363.4997033969013,371.76944002136344,388.3863301273045,24.886626730403236,0.9993,0.0,-1774.973,0.1514,,0.9994,1.0,-2905.379,27036.59,4.99,-0.05905247812657749,0.8417575109027293,-0.16404139753462482,0.18197503846657415,100.0
Miranda,229.26933414693698,231.733084146937,233.375584146937,4.106250000000017,0.9997,0.0,-72994.348,0.0038,,0.9997,0.01,-79698.642,199.25,3.28,0.07504886626779576,0.0448737001188136,0.027032937893494535,0.11444022614389829,100.0
Ladário,123.72850000000001,125.09987500000001,126.014125,2.285624999999996,0.9899,0.0,-301.791,0.0008,,0.99,0.02,-311.19,12.49,1.83,0.0241139797156356,0.011718718537230579,-0.020404777049425303,0.06090544076406986,100.0
