municipio,desmatamento_2022,desmatamento_2024,crescimento_desmatamento,r2_score,mse,impacto_agro_2024,impacto_pib_2024,impacto_ind_2024,impacto_adm_2024
Corumbá,7430.7,7764.906608681088,334.20660868108826,0.99,6839.94,1244.150679045424,-3007.960775182342,617.9279544463499,5260.665520033122
Porto Murtinho,3676.115656462046,3733.902525117037,57.78686865499094,0.99,153.03,58.42620108139084,205.27173290557403,-9.227130426300684,416.57674627651807
Cáceres,3575.800794617376,3644.203603217593,68.40280860021676,1.0,69.71,-21.93981254927758,-87.43915695759911,49.36017552496959,756.7179653309661
Aquidauana,3362.0565263656654,3511.6610985807247,149.6045722150593,0.99,405.48,659.6802535453068,-713.5167506990335,-169.74746342514678,1983.2731623797442
Rio Verde de Mato Grosso,2879.3654811768392,2967.3369112825367,87.97143010569744,1.0,95.84,69.97891761537065,227.97591306979942,-42.5530954457316,691.1349499034476
Santo Antônio do Leverger,2350.337200129776,2433.569159144069,83.2319590142929,0.99,106.49,-427.46064128241085,704.7142387121187,-10.094213125807206,584.1022844379556
Barão de Melgaço,1287.7751420855734,1349.1187755477952,61.34363346222176,0.99,179.71,92.14644330022118,-359.23187641438255,190.3699148288619,636.6426610657304
Poconé,1281.715553675339,1339.5280317292866,57.81247805394764,0.99,135.62,-57.575338920990745,681.2781346719833,-38.72501399914733,6.583086057752122
Coxim,1079.7168454367788,1095.888695314762,16.17184987798305,0.99,8.55,-19.48432974189387,36.61189871393891,8.987170531460029,165.073973236627
Porto Esperidião,572.0809525790833,582.9494508085465,10.868498229463285,0.98,7.46,-28.946997366789176,125.527262384958,-23.552911924228415,58.27437962779306
Sonora,535.0041484945672,547.6592711082815,12.655122613714298,0.93,39.14,1.849467561921509,-24.09127275262633,11.346401016553944,130.40454257939774
Itiquira,384.9694178838638,411.64975159171786,26.68033370785406,0.97,75.71,-2.629437490578687,-30.60588068208916,68.96107266880875,216.67925448203493
Nossa Senhora do Livramento,349.82638719788196,373.6806601818446,23.85427298396263,1.0,8.19,-40.16066000851623,223.79049751795827,-23.089547150284638,36.55065158081457
Miranda,224.63827473314478,229.1372310612917,4.498956328146903,0.98,0.92,-8.639680176923527,74.14097684554335,-20.88048394527464,13.208672286709497
Ladário,122.47324117916494,123.31885384967713,0.8456126705121818,0.97,0.07,-0.039903028542328065,-1.7287217230938523,-0.06317208604872483,9.99463485401378
