municipio,desmatamento_2022,desmatamento_2023,desmatamento_2024,crescimento_desmatamento,r2_in_sample_log,mse_in_sample_log,r2_holdout_log,mse_holdout_log,r2_cv_log,r2_in_sample_raw,mse_in_sample_raw,r2_holdout_raw,mse_holdout_raw,modelo_escolhido,melhores_parametros,piso_crescimento_aplicado
Corumbá,7515.67,7600.64,7685.610000000001,169.9400000000005,0.1783,0.0102,-21.6296,0.0292,,0.1745,392284.5302,-18.5004,1294004.0874,Ridge,{'alpha_1se': 492.3882631706742},84.97
Porto Murtinho,3681.6165,3699.933,3718.2495,36.63299999999981,0.8623,0.0001,-9.5406,0.0003,,0.8639,1147.1256,-9.3358,3970.5929,Ridge,{'alpha_1se': 24.244620170823282},18.32
Cáceres,3548.2529999999997,3565.9059999999995,3583.5589999999993,35.305999999999585,0.907,0.0001,-22.772,0.0004,,0.9087,898.8773,-22.3057,4278.9803,Ridge,{'alpha_1se': 24.244620170823282},17.65
Aquidauana,3376.72,3400.9399999999996,3425.1599999999994,48.4399999999996,0.9519,0.0003,-22.7824,0.0086,,0.953,2514.1821,-20.8588,85933.1189,Ridge,{'alpha_1se': 14.251026703029977},24.22
Rio Verde de Mato Grosso,2870.9835,2885.267,2899.5505,28.567000000000007,0.8238,0.0004,-75.1113,0.0049,,0.8246,3044.4332,-69.7447,36293.6346,Ridge,{'alpha_1se': 41.24626382901352},14.28
Santo Antônio do Leverger,2273.712,2285.024,2296.336,22.623999999999796,0.8573,0.0005,-513.7414,0.002,,0.8585,1974.6992,-490.1151,9945.0798,Ridge,{'alpha_1se': 24.244620170823282},11.31
Barão de Melgaço,1259.7675,1266.0349999999999,1272.3024999999998,12.534999999999854,0.9376,0.0006,-1621.349,0.0127,,0.9368,718.538,-1450.2442,17777.7413,RandomForest,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_samples': 0.9, 'max_features': 0.9, 'max_depth': 5, 'ccp_alpha': 0.0001, 'bootstrap': True}",6.27
Poconé,1253.0339999999999,1259.2679999999998,1265.5019999999997,12.467999999999847,0.8915,0.0006,-21.5139,0.0015,,0.8952,765.6196,-20.4218,2142.1811,Ridge,{'alpha_1se': 24.244620170823282},6.23
Coxim,1078.2645,1083.629,1088.9934999999998,10.728999999999814,0.6408,0.0002,-63.7873,0.0007,,0.6407,196.2363,-61.9169,792.9096,Ridge,{'alpha_1se': 70.1703828670383},5.36
Porto Esperidião,566.82,569.6400000000001,572.4600000000002,5.6400000000001,0.8571,0.0001,-50.8124,0.0008,,0.858,26.9162,-49.4039,255.1697,RandomForest,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_samples': 0.9, 'max_features': 0.9, 'max_depth': 5, 'ccp_alpha': 0.0001, 'bootstrap': True}",2.82
Sonora,536.1675,538.835,541.5025,5.335000000000036,0.8641,0.0002,-8.023,0.0018,,0.8634,60.1684,-7.7372,484.9345,RandomForest,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_samples': 0.9, 'max_features': 0.9, 'max_depth': 5, 'ccp_alpha': 0.0001, 'bootstrap': True}",2.67
Itiquira,362.001,363.80199999999996,365.60299999999995,3.6019999999999754,0.8491,0.0027,-85.7142,0.0016,,0.8528,247.5489,-90.677,220.2539,Ridge,{'alpha_1se': 24.244620170823282},1.8
Nossa Senhora do Livramento,334.06199999999995,335.72399999999993,337.3859999999999,3.3239999999999554,0.8349,0.0031,-53.6878,0.0047,,0.8424,232.0132,-50.2676,476.9171,Ridge,{'alpha_1se': 28.942661247167518},1.66
Miranda,220.095,221.19,222.285,2.1899999999999977,0.7887,0.0002,-14458.3183,0.0007,,0.7909,8.5115,-14041.6863,35.1067,Ridge,{'alpha_1se': 34.5510729459222},1.09
Ladário,122.5095,123.119,123.7285,1.218999999999994,0.8754,0.0,-5.8516,0.0,,0.8758,0.2491,-5.8255,0.273,Ridge,{'alpha_1se': 17.012542798525892},0.61
