municipio,variavel,slope,intercept,r2,p_value,std_err,n,delta_y_por_1000ha
Aquidauana,pib_per_capita,14.395764900728608,-24032.034691719535,0.9793449648968661,9.332583594573425e-10,0.6611193473868272,12,14395.764900728607
Barão de Melgaço,pib_per_capita,16.848351937314277,-8132.577484838999,0.769277391180122,0.0001791316171150227,2.9178369397192085,12,16848.351937314277
Corumbá,pib_per_capita,3.9879300135208418,1749.7126224250787,0.5954051489596388,0.0032856551244792444,1.0395644291094142,12,3987.930013520842
Coxim,pib_per_capita,165.05850479735494,-145611.0470234765,0.943794640516016,1.4138943984535993e-07,12.737612073028302,12,165058.50479735495
Cáceres,pib_per_capita,34.49589761838506,-98603.94353077414,0.9710581381556502,5.0586792070987965e-09,1.883250394562035,12,34495.89761838506
Itiquira,pib_per_capita,385.33632664581273,-25938.71222483569,0.5440288005184426,0.006182953990909136,111.55722775078857,12,385336.3266458127
Ladário,pib_per_capita,1519.8331975744422,-169736.94791293348,0.645431772409455,0.0016459717704959283,356.22194002256913,12,1519833.1975744423
Miranda,pib_per_capita,437.7978650596575,-75816.35912694578,0.8973594234909658,2.9319210685213124e-06,46.82200066617342,12,437797.8650596575
Nossa Senhora do Livramento,pib_per_capita,172.26404524721113,-30259.748687482257,0.974640895518004,2.608617328663866e-09,8.786972816436258,12,172264.04524721112
Poconé,pib_per_capita,38.66152065541671,-28250.826997577868,0.9747624991955515,2.546537282363887e-09,1.9672189462843352,12,38661.52065541671
Porto Esperidião,pib_per_capita,189.20031425427828,-85474.50284526931,0.8304695921062039,3.719926878406432e-05,27.032349218564224,12,189200.3142542783
Porto Murtinho,pib_per_capita,32.28408827199243,-93710.5266532602,0.894107944321304,3.43179181399041e-06,3.5133809237251055,12,32284.08827199243
Rio Verde de Mato Grosso,pib_per_capita,33.78913069014269,-66577.22256443964,0.9741184756510992,2.889260872886697e-09,1.7416707333022805,12,33789.130690142694
Santo Antônio do Leverger,pib_per_capita,57.0714174686601,-94493.15143190158,0.7228265081277547,0.00045950598764021264,11.175770383751058,12,57071.4174686601
Sonora,pib_per_capita,263.4830926924511,-96066.97490348428,0.7864254411165867,0.00012067510831780899,43.420891317622655,12,263483.09269245114
