municipio,variavel,slope,intercept,r2,p_value,std_err,n,delta_y_por_1000ha
Aquidauana,valor_agropecuaria,96.95946275296664,-142677.64629592956,0.6460950394797866,0.0016299799863879881,22.69265560339319,12,96959.46275296665
Barão de Melgaço,valor_agropecuaria,25.089822492492612,-3556.13854934974,0.1950169139949961,0.15064984888127939,16.119620996493467,12,25089.82249249261
Corumbá,valor_agropecuaria,122.30098548522086,-420316.15398204245,0.8020113098993897,8.196586638992162e-05,19.21586333621081,12,122300.98548522087
Coxim,valor_agropecuaria,1405.0698384302273,-1308832.6934589283,0.8407294175338925,2.7089845628227358e-05,193.39158527951977,12,1405069.8384302272
Cáceres,valor_agropecuaria,310.2179327699018,-898965.2523944259,0.5693292891060617,0.004567879982161118,85.32136695158384,12,310217.93276990176
Itiquira,valor_agropecuaria,3581.494234150481,-569382.7511206658,0.43702848664701466,0.019244969123801813,1285.4423176991538,12,3581494.234150481
Ladário,valor_agropecuaria,977.1599239750246,-110820.47189790983,0.7539940881381882,0.00024885349074997814,176.50395801097795,12,977159.9239750246
Miranda,valor_agropecuaria,3016.291260371878,-549470.0195324341,0.7165703996735288,0.0005155365228677268,599.8828496061719,12,3016291.260371878
Nossa Senhora do Livramento,valor_agropecuaria,184.93716508768694,-10420.973386710499,0.5013095528539614,0.009977970537713236,58.32929539248877,12,184937.16508768694
Poconé,valor_agropecuaria,115.57295168950796,-64870.583881776096,0.3055119525165372,0.06234886450743068,55.10290434442433,12,115572.95168950796
Porto Esperidião,valor_agropecuaria,599.4922042160811,-266890.1863813499,0.3678850337277191,0.03653017381865324,248.4994983200929,12,599492.2042160811
Porto Murtinho,valor_agropecuaria,251.661579984655,-752364.4366403054,0.5936656056783529,0.00336068493810397,65.8396884312032,12,251661.579984655
Rio Verde de Mato Grosso,valor_agropecuaria,259.27036274355294,-547075.3828436236,0.8634634431537801,1.2406515320971302e-05,32.60283536825935,12,259270.36274355295
Santo Antônio do Leverger,valor_agropecuaria,480.2599384150599,-777478.6285802552,0.4114313933520368,0.024567637085776643,181.64614877931814,12,480259.9384150599
Sonora,valor_agropecuaria,2723.4126406622927,-1118682.3345737564,0.6788904518560758,0.0009830581003391636,592.2979210653531,12,2723412.6406622925
