municipio,variavel,slope,intercept,r2,p_value,std_err,n
Aquidauana,valor_agropecuaria,0.006663558368984661,1968.5154555463246,0.6460950394797861,0.0016299799863879819,0.0015595572713283277,12
Barão de Melgaço,valor_agropecuaria,0.00777274984920075,903.7912743734255,0.19501691399499643,0.15064984888127947,0.004993809011887523,12
Corumbá,valor_agropecuaria,0.006557684770220484,3925.1947197904256,0.8020113098993897,8.196586638992221e-05,0.0010303398116259287,12
Coxim,valor_agropecuaria,0.0005983541846383764,946.741625157582,0.8407294175338915,2.708984562822868e-05,8.235652147734648e-05,12
Cáceres,valor_agropecuaria,0.0018352558925997086,3094.0819167594836,0.5693292891060625,0.004567879982161096,0.0005047630227705155,12
Itiquira,valor_agropecuaria,0.00012202406539701621,237.38934334548685,0.43702848664701477,0.019244969123801862,4.379593744514827e-05,12
Ladário,valor_agropecuaria,0.000771617899627923,114.96411755929573,0.7539940881381879,0.0002488534907499845,0.00013937699450712162,12
Miranda,valor_agropecuaria,0.00023756671283302463,190.06072623584947,0.7165703996735289,0.0005155365228677392,4.724749182486977e-05,12
Nossa Senhora do Livramento,valor_agropecuaria,0.0027107020517821152,164.04156269878936,0.5013095528539613,0.009977970537713293,0.0008549570910987846,12
Poconé,valor_agropecuaria,0.002643455480286684,931.1308890102757,0.3055119525165373,0.06234886450743091,0.0012603474458306597,12
Porto Esperidião,valor_agropecuaria,0.0006136610803951651,503.0730958930117,0.3678850337277185,0.03653017381865492,0.0002543727333638541,12
Porto Murtinho,valor_agropecuaria,0.002358983861241561,3192.2352176387317,0.5936656056783525,0.0033606849381040485,0.0006171572253812122,12
Rio Verde de Mato Grosso,valor_agropecuaria,0.0033303592204552875,2176.059416694842,0.8634634431537802,1.2406515320971416e-05,0.00041878737019034143,12
Santo Antônio do Leverger,valor_agropecuaria,0.0008566848084598348,1890.1787370668787,0.4114313933520378,0.024567637085776514,0.00032401931480695187,12
Sonora,valor_agropecuaria,0.0002492793202615736,437.452350040758,0.6788904518560761,0.0009830581003391799,5.421419470227951e-05,12
