municipio,variavel,slope,intercept,r2,p_value,std_err,n
Aquidauana,valor_agropecuaria,0.006663558368984661,1968.5154555463246,0.6460950394797861,0.0016299799863879819,0.0015595572713283277,12
Barão de Melgaço,valor_agropecuaria,0.00777274984920075,903.7912743734255,0.19501691399499643,0.15064984888127947,0.004993809011887523,12
Corumbá,valor_agropecuaria,0.006557684770220484,3925.1947197904256,0.8020113098993897,8.196586638992221e-05,0.0010303398116259287,12
Coxim,valor_agropecuaria,0.0005983541846383764,946.741625157582,0.8407294175338915,2.708984562822868e-05,8.235652147734648e-05,12
Cáceres,valor_agropecuaria,0.0018352558925997086,3094.0819167594836,0.5693292891060625,0.004567879982161096,0.0005047630227705155,12
Itiquira,valor_agropecuaria,0.00012202406539701621,237.38934334548685,0.43702848664701477,0.019244969123801862,4.379593744514827e-05,12
Ladário,valor_agropecuaria,0.000771617899627923,114.96411755929573,0.7539940881381879,0.0002488534907499845,0.00013937699450712162,12
Miranda,valor_agropecuaria,0.00023756671283302463,190.06072623584947,0.7165703996735289,0.0005155365228677392,4.724749182486977e-05,12
Nossa Senhora do Livramento,valor_agropecuaria,0.0027107020517821152,164.04156269878936,0.5013095528539613,0.009977970537713293,0.0008549570910987846,12
Poconé,valor_agropecuaria,0.002643455480286684,931.1308890102757,0.3055119525165373,0.06234886450743091,0.0012603474458306597,12
Porto Esperidião,valor_agropecuaria,0.0006136610803951651,503.0730958930117,0.3678850337277185,0.03653017381865492,0.0002543727333638541,12
Porto Murtinho,valor_agropecuaria,0.002358983861241561,3192.2352176387317,0.5936656056783525,0.0033606849381040485,0.0006171572253812122,12
Rio Verde de Mato Grosso,valor_agropecuaria,0.0033303592204552875,2176.059416694842,0.8634634431537802,1.2406515320971416e-05,0.00041878737019034143,12
Santo Antônio do Leverger,valor_agropecuaria,0.0008566848084598348,1890.1787370668787,0.4114313933520378,0.024567637085776514,0.00032401931480695187,12
Sonora,valor_agropecuaria,0.0002492793202615736,437.452350040758,0.6788904518560761,0.0009830581003391799,5.421419470227951e-05,12
Aquidauana,pib_per_capita,0.06803007493178069,1694.3017314168892,0.9793449648968661,9.332583594573394e-10,0.003124252101345406,12
Barão de Melgaço,pib_per_capita,0.04565891038140009,622.4450366780192,0.7692773911801217,0.00017913161711502368,0.007907316741355712,12
Corumbá,pib_per_capita,0.14930180493161915,2127.4286870511814,0.5954051489596386,0.003285655124479269,0.038919651318482906,12
Coxim,pib_per_capita,0.005717940082364915,890.3270455826266,0.9437946405160161,1.4138943984536117e-07,0.00044125507325661284,12
Cáceres,pib_per_capita,0.028149960000985977,2872.7533588436268,0.9710581381556502,5.058679207098941e-09,0.0015368037053341745,12
Itiquira,pib_per_capita,0.0014118284804705025,172.61822267112157,0.5440288005184423,0.006182953990909164,0.0004087329962162269,12
Ladário,pib_per_capita,0.00042467276898512304,114.5333407175474,0.6454317724094574,0.0016459717704959253,9.953576345355962e-05,12
Miranda,pib_per_capita,0.0020497117393861366,176.95791308318803,0.8973594234909655,2.931921068521286e-06,0.0002192144185397599,12
Nossa Senhora do Livramento,pib_per_capita,0.0056578312329733415,178.10983537640874,0.974640895518004,2.608617328663893e-09,0.0002885988725782909,12
Poconé,pib_per_capita,0.02521273045319243,739.885895487126,0.9747624991955516,2.546537282363869e-09,0.0012829024879064351,12
