municipio,pearson_valor_agropecuaria,pearson_pib_per_capita,pearson_valor_industria,pearson_valor_administracao_publica
Aquidauana,0.803800372903488,0.9896185956705067,0.8906688063031598,0.9827554696282734
Barão de Melgaço,0.44160719422921096,0.8770845975047801,0.9707062419193749,0.9818271234794151
Corumbá,0.895550841604981,0.7716250054007053,-0.010673701185278392,0.9820996286794469
Coxim,0.9169129825309994,0.9714909369191335,0.3586177471249791,0.9932962584958038
Cáceres,0.7545391236417517,0.9854228220188784,0.9034906419757974,0.9965363980270525
Itiquira,0.6610813010871014,0.7375830804176859,0.9413080015116558,0.9751698835693018
Ladário,0.8683283296876749,0.8033876849998736,0.5309063439387597,0.9802267576804014
Miranda,0.846504813733229,0.9472905697255545,0.7479025278741974,0.9731858487607828
Nossa Senhora do Livramento,0.7080321693637666,0.9872390265371422,0.8576235011267009,0.9859042559305328
Poconé,0.552731356552654,0.9873006123747472,0.8990871915107098,0.9891572334885755
Porto Esperidião,0.6065352699783582,0.9113010436218121,0.680072658974349,0.9843360184160226
Porto Murtinho,0.7704969861578651,0.9455728128078261,-0.4622030153941258,0.9737406502984669
Rio Verde de Mato Grosso,0.9292273366371547,0.9869744047598696,0.8589418941545575,0.9916294650014615
Santo Antônio do Leverger,0.6414291803091261,0.8501920419103878,0.8996643752142822,0.9777840640984845
Sonora,0.8239480880832701,0.8868063154469451,0.9191430926474111,0.9615505729676427
