municipio,rmse_teste_2021,r2_teste_2021,n_treinamento,alpha_selecionado,bias_delta_2021,eps_monotonia_usado
Aquidauana,38.20753469802639,0.9691046560325036,10,0.1,-38.20753469802639,33.525
Barão de Melgaço,27.0717315065433,0.9322977403255333,10,0.3,27.0717315065433,12.535
Corumbá,400.8568252084433,0.5436575379241007,10,0.3,400.8568252084433,74.307
Coxim,1.6555050597532954,0.9949656196970023,10,1.0,-1.6555050597532954,10.729000000000001
Cáceres,10.57607922078023,0.9889891617531589,10,0.1,10.57607922078023,35.306
Itiquira,8.726426232681263,0.960291400852325,10,1.0,-8.726426232681263,3.602
Ladário,0.21207380707822665,0.9769935548372537,10,1.0,-0.21207380707822665,1.219
Miranda,3.1205163488100993,0.7900089217712758,10,0.1,-3.1205163488100993,2.19
Nossa Senhora do Livramento,6.282979330072067,0.9727716490763055,10,0.1,6.282979330072067,3.324
Poconé,18.32198644385835,0.9551363912351838,10,0.1,-18.32198644385835,12.468
Porto Esperidião,7.722052962725911,0.7174924957306803,10,10.0,-7.722052962725911,5.64
Porto Murtinho,12.364883557582289,0.9798716346127678,10,0.1,12.364883557582289,36.633
Rio Verde de Mato Grosso,30.799758853974254,0.9417547359608832,10,0.1,-30.799758853974254,28.567
Santo Antônio do Leverger,31.716584264909216,0.9372024223569503,10,0.1,-31.716584264909216,22.624000000000002
Sonora,14.93115071299701,0.44717739005508417,10,10.0,14.93115071299701,5.335
