municipio,ano,y_prev_bruto,y_prev_ajustado_monotono,regra_monotonia
Aquidauana,2022,3461.777754041122,3461.777754041122,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Aquidauana,2023,3589.184550197852,3589.184550197852,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Aquidauana,2024,3727.5903235293863,3727.5903235293863,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Barão de Melgaço,2022,1256.256186641422,1266.035,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Barão de Melgaço,2023,1249.7824367219994,1278.5700000000002,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Barão de Melgaço,2024,1238.300836329895,1291.1050000000002,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Corumbá,2022,7868.826112409651,7868.826112409651,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Corumbá,2023,8214.09172611254,8214.09172611254,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Corumbá,2024,8502.351098265988,8502.351098265988,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Coxim,2022,1081.2100679389953,1083.6290000000001,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Coxim,2023,1090.4262460382781,1094.3580000000002,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Coxim,2024,1099.996781774225,1105.0870000000002,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Cáceres,2022,3554.841146744768,3565.906,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Cáceres,2023,3576.3152550600967,3601.212,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Cáceres,2024,3596.7231291179546,3636.518,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Itiquira,2022,366.94794928987045,366.94794928987045,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Itiquira,2023,375.74552659909136,375.74552659909136,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Itiquira,2024,385.4141436181599,385.4141436181599,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Ladário,2022,122.30921183356611,123.119,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Ladário,2023,122.75331389748484,124.338,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Ladário,2024,123.21303556648421,125.55699999999999,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Miranda,2022,220.26858178576865,221.19,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Miranda,2023,222.31886692040788,223.38,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Miranda,2024,224.75891295837494,225.57,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Nossa Senhora do Livramento,2022,337.3146083500348,337.3146083500348,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Nossa Senhora do Livramento,2023,340.39510959147003,340.6386083500348,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Nossa Senhora do Livramento,2024,342.8329144395583,343.9626083500348,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Poconé,2022,1270.16507177493,1270.16507177493,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Poconé,2023,1299.3333267962444,1299.3333267962444,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Poconé,2024,1332.074227555959,1332.074227555959,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Porto Esperidião,2022,566.3822946705147,569.64,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Porto Esperidião,2023,572.8456935342616,575.28,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Porto Esperidião,2024,580.0852448814211,580.92,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Porto Murtinho,2022,3694.7353583591785,3699.933,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Porto Murtinho,2023,3723.547857351638,3736.566,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Porto Murtinho,2024,3751.2128017451873,3773.1989999999996,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Rio Verde de Mato Grosso,2022,2910.727768375359,2910.727768375359,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
Rio Verde de Mato Grosso,2023,2975.032202461921,2975.032202461921,"2022>=2021+max(1.0 ha, 1.0%); 2023>=2022+...; 2024>=2023+...; y>=0"
