id_continente,id_pais,id_uf,id_via,ano,mes,nome_mes,chegadas,data_completa,trimestre,estacao
6,57,99,1,2024,1,Janeiro,10,2024-01-01,1.0,Verão
4,26,99,1,2024,1,Janeiro,1197,2024-01-01,1.0,Verão
6,59,99,1,2024,1,Janeiro,3,2024-01-01,1.0,Verão
3,23,99,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
4,28,99,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,62,99,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
6,63,99,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,65,99,1,2024,1,Janeiro,9,2024-01-01,1.0,Verão
3,24,99,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,68,99,1,2024,1,Janeiro,8,2024-01-01,1.0,Verão
6,70,99,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
6,72,99,1,2024,1,Janeiro,3,2024-01-01,1.0,Verão
6,73,99,1,2024,1,Janeiro,77,2024-01-01,1.0,Verão
6,74,99,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
3,25,99,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
4,33,99,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,78,99,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,79,99,1,2024,1,Janeiro,270,2024-01-01,1.0,Verão
6,80,99,1,2024,1,Janeiro,5,2024-01-01,1.0,Verão
6,83,99,1,2024,1,Janeiro,5,2024-01-01,1.0,Verão
6,85,99,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,86,99,1,2024,1,Janeiro,13,2024-01-01,1.0,Verão
6,88,99,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
4,37,99,1,2024,1,Janeiro,4,2024-01-01,1.0,Verão
6,73,3,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
6,57,4,1,2024,1,Janeiro,27,2024-01-01,1.0,Verão
1,2,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
4,26,4,1,2024,1,Janeiro,8,2024-01-01,1.0,Verão
7,90,4,1,2024,1,Janeiro,11,2024-01-01,1.0,Verão
6,59,4,1,2024,1,Janeiro,3,2024-01-01,1.0,Verão
2,22,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
3,23,4,1,2024,1,Janeiro,94,2024-01-01,1.0,Verão
5,40,4,1,2024,1,Janeiro,8,2024-01-01,1.0,Verão
4,29,4,1,2024,1,Janeiro,75,2024-01-01,1.0,Verão
2,12,4,1,2024,1,Janeiro,8,2024-01-01,1.0,Verão
6,62,4,1,2024,1,Janeiro,5,2024-01-01,1.0,Verão
2,14,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
4,30,4,1,2024,1,Janeiro,14,2024-01-01,1.0,Verão
6,63,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,65,4,1,2024,1,Janeiro,7,2024-01-01,1.0,Verão
3,24,4,1,2024,1,Janeiro,1118,2024-01-01,1.0,Verão
5,43,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,68,4,1,2024,1,Janeiro,25,2024-01-01,1.0,Verão
6,69,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
2,15,4,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
4,31,4,1,2024,1,Janeiro,6,2024-01-01,1.0,Verão
6,70,4,1,2024,1,Janeiro,3,2024-01-01,1.0,Verão
2,17,4,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
6,71,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
5,44,4,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
6,72,4,1,2024,1,Janeiro,10,2024-01-01,1.0,Verão
5,47,4,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
6,73,4,1,2024,1,Janeiro,8,2024-01-01,1.0,Verão
5,48,4,1,2024,1,Janeiro,17,2024-01-01,1.0,Verão
6,74,4,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
5,50,4,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
6,89,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
1,6,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
3,25,4,1,2024,1,Janeiro,36,2024-01-01,1.0,Verão
1,7,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,89,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,77,4,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
2,19,4,1,2024,1,Janeiro,7,2024-01-01,1.0,Verão
5,51,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
4,34,4,1,2024,1,Janeiro,20,2024-01-01,1.0,Verão
6,78,4,1,2024,1,Janeiro,15,2024-01-01,1.0,Verão
6,79,4,1,2024,1,Janeiro,7,2024-01-01,1.0,Verão
6,80,4,1,2024,1,Janeiro,32,2024-01-01,1.0,Verão
5,52,4,1,2024,1,Janeiro,5,2024-01-01,1.0,Verão
2,20,4,1,2024,1,Janeiro,3,2024-01-01,1.0,Verão
6,81,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,82,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,83,4,1,2024,1,Janeiro,7,2024-01-01,1.0,Verão
6,85,4,1,2024,1,Janeiro,2,2024-01-01,1.0,Verão
6,86,4,1,2024,1,Janeiro,10,2024-01-01,1.0,Verão
4,35,4,1,2024,1,Janeiro,4,2024-01-01,1.0,Verão
5,54,4,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
4,37,4,1,2024,1,Janeiro,22,2024-01-01,1.0,Verão
4,26,5,1,2024,1,Janeiro,1272,2024-01-01,1.0,Verão
4,27,5,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
4,28,5,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
4,29,5,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
4,30,5,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,65,5,1,2024,1,Janeiro,4,2024-01-01,1.0,Verão
3,24,5,1,2024,1,Janeiro,6,2024-01-01,1.0,Verão
6,68,5,1,2024,1,Janeiro,3,2024-01-01,1.0,Verão
6,89,5,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
6,69,5,1,2024,1,Janeiro,1,2024-01-01,1.0,Verão
