municipio,valor_agropecuaria,pib_per_capita,valor_industria,valor_administracao_publica
Aquidauana,1004.9456855490045,7732.202742244052,145.33066467402753,3323.940385060456
Barão de Melgaço,93.21004206898755,505.1168890118549,61.77207506136472,371.1472829004304
Corumbá,36.903450063937875,285.76060822749866,50.331275474783574,156.30628401851962
Coxim,70.30707391536828,444.0318215020622,35.42905047871384,283.7448067552319
Cáceres,26.626558135924032,438.4616044781005,58.95459780086736,485.38875941912784
Itiquira,25.25901804589811,77.95649849645612,44.339877126229574,89.6036093665189
Ladário,58.270339070316716,132.38930358114217,53.477631381419215,100.22153025081391
Miranda,75.17839119610491,362.97081701938606,54.05330937803819,241.8031720084813
Nossa Senhora do Livramento,28.42835828741478,341.09532761044517,21.184822106928323,261.35182063268763
Poconé,32.13295214005948,2152.6208293985615,104.0511303020564,1314.095672385179
Porto Esperidião,68.17188348293321,504.1996984773952,7.063389907441397,219.6906818832271
Porto Murtinho,374.02892390921545,2062.3348870530053,38.698659462811946,493.6722692502806
Rio Verde de Mato Grosso,135.34109430124948,453.21882857400993,147.35423236529743,668.3731450374237
Santo Antônio do Leverger,106.04854084792251,438.2944921029665,73.44431470523648,51.234893775143576
Sonora,56.41345072223297,92.64941438216437,68.53773506660376,179.66091272176374
